,host_id,host_name,private_rooms
601,112029863,Malia,1
604,115263136,Glenn And Mary,1
605,115339910,Josh,1
607,116556470,Cassandra,1
608,117050881,Scott,1
609,117214125,Vina,1
613,118807285,Jeff,1
615,119684205,Chase,1
616,120076917,Chris,1
618,121789735,Gary & Mitsue,1
619,122108240,Elaine,1
622,122959159,Jason,1
624,123124632,Kha,1
626,123829146,Luiz,1
627,124598061,Gabe,1
628,124623289,Kris,1
629,124935487,Neil,1
630,126302888,Lea,1
632,126536164,Wesley,1
634,127512419,Jeff,1
635,127813453,Amanda,1
636,127881109,Angy,1
638,128275237,Kevin,1
639,128621927,Caroline,1
685,153556876,Lakshay,1
686,153827251,Irie,1
687,154740340,Norman,1
731,173406428,Julie,1
733,173571854,Diana,1
735,173890332,Andrew,1
737,174309376,Michelle,1
739,174844938,Diana,1
740,175213863,Saud,1
741,175244580,Jeremy,1
742,175554543,Todd,1
744,176644647,Taewook(David),1
745,176671195,Roxanne,1
747,177746163,Fabiola,1
748,178104278,Mike,1
749,179710106,Leonardo,1
751,180072920,Steven,1
752,181899740,Mary,1
753,182517132,Seth,1
755,182730220,Patricia,1
756,182986345,John,1
758,184680306,Angela,1
759,185410414,Jared,1
760,189981748,Greg,1
763,193341176,Amy,1
764,194511621,Kanu,1
768,197405626,Mouy,1
770,198699849,Amber,1
772,200306264,Betina,1
732,173433568,Toby,1
726,171180364,Roni,1
689,157050722,Ava,1
725,170470693,Bernadine,1
691,158114911,Alison,1
693,158593867,Colette,1
694,158733518,Lynne,1
697,159670083,Ophelia,1
699,160619531,James,1
700,160646539,Anthony,1
701,161027254,Nicole,1
702,161080915,Delbert,1
703,161596752,Deatra,1
704,161632313,Gabriel,1
706,162600695,Allie And Tom,1
709,165146557,Michael,1
710,165175768,Qiao Hong,1
711,165655655,Dwayne,1
712,165859579,Barbara,1
713,165944194,Hirokazu,1
715,167472705,Lani,1
716,167728363,Ewa,1
717,167739125,Eric,1
718,168053190,Michael And Catherine,1
720,169111328,John & Denice,1
721,169192051,Lani,1
722,169778948,Gordon,1
723,170283400,Ingrid,1
724,170468801,Germaine,1
598,111803559,Allan & Anne Marie,1
597,110377634,Qi,1
594,109704557,Jenipher,1
454,60844024,Helena,1
461,63537478,Elizabeth,1
463,64702170,Mark,1
464,64959127,Sean,1
466,65120131,Jeanette,1
468,65557078,Joe,1
469,65674961,Liu,1
470,65689586,Richard And Amber,1
472,65981537,Scott,1
474,66103188,Matt,1
475,66251520,Tiffany,1
476,66287912,Toni,1
479,66671112,Ana Paula,1
480,66846717,Devon,1
483,67661665,Rick,1
484,67661918,Cassandraosnyder@Gmail.Com,1
485,67803040,Anjali,1
486,68111841,Ravi,1
489,69570875,Lamin,1
494,71362662,Vacasa Hawaii,1
495,71672564,Richard,1
500,75471141,Florence,1
501,75671470,Maianna,1
502,75676988,Ivan,1
503,75827202,Kelly,1
504,75898452,Kevin,1
459,62833663,Abby,1
453,59853543,Dan,1
507,77125601,Tom,1
451,59411262,Ralph,1
408,50482854,Marisa,1
409,50743726,Kai,1
413,51103759,Leavon,1
414,51528327,Peter,1
415,51695533,Tammie,1
416,52125218,Keigo,1
417,52200456,Jennifer,1
418,52467156,Erik,1
421,52693307,Ken,1
422,52862089,Mohamed,1
424,53633823,Zach,1
425,53655943,Rosemarie & Henry,1
426,53796346,Flaki And Roman,1
428,54411873,Myung Sook,1
429,54427362,Kimberly,1
431,54515086,Mikael,1
432,54538867,Chris,1
437,55823041,Michael And Andrea,1
440,56520924,Karen M,1
443,57323235,Dominique,1
444,57334568,Lorelle,1
445,57698073,Elizabeth,1
446,57789943,Jaimini,1
448,58624902,Jin Ling,1
450,59220985,Ankur,1
505,77021411,Jennifer,1
508,77145520,Linda,1
592,107943276,Lingyi (Lexie),1
551,94117636,Chris,1
554,94479593,Ranjita,1
556,95179238,Yvonne,1
558,95287774,Paul,1
560,95715267,Andrew,1
564,96181289,Jane,1
565,96382289,Jessika,1
566,96548285,Jennifer,1
568,97186723,Budd,1
569,97322334,Michael,1
570,98039887,Dean,1
571,98136624,John,1
572,98505142,Kenneth,1
574,99530242,Stacey,1
577,100444157,Glenn,1
578,100814746,Susan,1
579,101111200,Kosta,1
580,101532128,Megan,1
581,102304062,Rose,1
582,102507377,Jaime,1
585,104955403,Marshall,1
586,105237765,Michael,1
587,106634470,Marc,1
588,106797169,Adam,1
590,107707507,Priscilla,1
591,107933517,Alyssa,1
553,94271081,Jenell,1
548,92587599,Ellissa,1
509,77365717,Paul,1
547,92358833,Ryo,1
510,77524831,David,1
512,78644426,Lindsey,1
513,79067706,Laurie,1
514,79168144,Nancy And Bob,1
516,79879363,Heather,1
517,79927795,Alex,1
518,79956199,A.,1
519,80103437,Wendi,1
520,80259852,Kamal,1
521,82208997,Lisa,1
523,82884264,Neesha,1
525,83830448,Brian,1
526,84000424,George,1
527,84088373,Anna,1
528,84580750,Rene-Louis,1
530,84973768,Leorosie,1
532,85336022,Kepi,1
533,85703105,Miguel,1
535,86417578,Amy,1
536,86424810,Kim,1
537,86790860,Xing,1
538,87391637,Billy,1
539,89366551,Tracy,1
544,90122288,Sam,1
545,90297958,Joelle,1
1240,566273702,Sharon,1
