,host_id,host_name,host_about,num_host_listings
3280,116465695,Castle Resorts And Hotels,"This exquisite condominium is located on Waikiki Beach just next door to Fort DeRussy Park and one block from bustling Kalakaua Avenue. Each studio, one- and two- bedroom suite features kitchenette or full kitchen, and in-room washer/dryer.


Since 1993, Castle Resorts & Hotels has specialized in innovative hotel and resort management. We manage properties throughout the Hawaiian Islands, including Kauai, Oahu, Maui, Molokai, and Hawaii Island, as well as Auckland, New Zealand. Accommodations range from full-service hotels to resort condominiums and combines value, convenience, and authentic experiences.",59
3874,186952542,Love Rentals,"Hi there,

Welcome to the Airbnb page for Love Rentals - Find Your Bliss. Our rockstar team works on behalf of industry-leading professionals and homeowners. People use our software platform to help them find potential guests such as yourself. We love connecting guests with the perfect Airbnb. We work every day to make this next vacation, the best vacation. 

Please do not hesitate to reach out to us to lend a hand and thank you in advance for being our best guest yet! 

Your Love Rentals Team",55
4142,243470944,Resort Stay,"We specialize in Wyndham Vacation Resort Rentals.  Our company, Resort Stay, is a licensed travel agency and we've been in business since 2012.   You can count on us to provide you with an amazing Resort Stay!

",53
3665,156373103,Daniel,A licensed professional real estate manager.,52
3571,146182295,Sullivan Properties,"Aloha & Welcome to Maui Resorts at Sullivan Properties, offering affordable Vacation Condo Rentals on the tropical paradise island getaway of West Maui, Hawaii. We have been providing visitors & residents with the best Maui Condo Rentals & Property Management Services for over 40 yrs. We offer the best quality, selection and service on the ""West Side"" of Maui: Lahaina to Kapalua.

Sullivan Properties Inc.",52
3492,136437655,ITrip Maui,"iTrip Vacations - Maui offers many Maui home rentals, all beautifully situated on the sparkling beaches of Kaanapali, Napili, Kapalua, Lahaina, Kihei, Wailea and Maalaea. Our Maui home rentals are beachfront style, offering activities like snorkeling, surfing, whale watching, hiking, and relaxing by the beach or pool. Not far from many of our Maui home rentals is Haleakalā National Park, an amazing destination for beautiful views, complete with a visitor center for educational information. Also near all of our Maui home rentals are a number of great shops and delicious restaurants for refueling after a long day at the beach. All of our Maui home rentals offer you all the comforts of home with the addition of luxurious amenities. Book one of iTrip Vacations' many beautiful Maui home rentals today for the trip of a lifetime!",51
2291,46013796,Maui Westside,"Live 'The Good Life' on Maui with Maui Westside! Our family-owned business is dedicated to making your island getaway unforgettable. With local expertise, friendly staff, & free concierge services, we're here to ensure you have a great stay. We are a fully licensed & legal property management & real estate brokerage firm - license #RB-21121. Please feel free to contact us via email, text, or call during your stay.",50
4803,468881737,Evan,"Hello, I am Evan! 
Growing up I always went to amazing timeshare resorts that always made it feel like home. Vacationing has always been apart of who I am and I’d love to send you on your next vacation to somewhere special! During my studies, I decided to make an account, so I could help send you on a memorable getaway. Please let me know how I can make your vacation grand!",49
2047,36133410,Patty,"Travel aficionado. Enjoy meeting people, eating local foods and nature.",49
3920,195864879,Leslie At Luana Kai Resort,"Mario and I run the front office of Luana Kai and handle all reservations in the rental pool. You can reserve your Maui condos in the sun with our Kihei vacation rentals. On the ocean and near to Maui's best beaches, golf, and everything else. Your home away from home. With a large pool, sauna, whirlpool, barbecues, tennis, and more.",48
4105,234194182,Chris,"I’m a full time dad of 2 with a passion for travel! I just want to share my knowledge of amazing vacations with you so you can have an amazing trip!

We are a Timeshare Rental Brokerage. We have access to hundreds of amazing resorts for hotel prices all of the country. 


Thanks!",48
2002,34024330,Alohana Realty LLC,"We are a full service boutique Real Estate firm, specializing in Vacation Rentals and Property Management.
",48
3195,107979946,Castle Resorts And Hotels,"Kauai’s Plantation-style Resort on Famous Poipu Beach

Get ready to be charmed by the feel of old Hawaii at Kiahuna Plantation & The Beach Bungalows, a Poipu resort set upon 35 gorgeous acres of landscaped lawns, gardens, and one of the best beaches on an island famous for its beaches. Our condo resort has all the amenities you’re looking for in a home away from home on Kauai’s sunny south side.

Since 1993, Castle Resorts & Hotels has specialized in innovative hotel and resort management. We manage properties throughout the Hawaiian Islands, including Kauai, Oahu, Maui, Molokai, and Hawaii Island, as well as Auckland, New Zealand. Accommodations range from full-service hotels to resort condominiums and combine value, convenience, and authentic experiences.",48
1828,28035243,Jeff & Shana,"Aloha...! 

We have a lot of Gratitude for living on the beautiful island of Kaua'i. 

We Embrace the Diversity of our Global Community. We warmly welcome travelers from all parts of the world and all walks of life. Our goal is for your stay to be Most Enjoyable!  

We welcome your questions and would be Delighted to Host Your Stay.  

With gratitude, 
Shana & Jeff",47
168,733802,Kathy,"To view all of my listings, click here:  https://airbnb.com/users/733802/listings

I am the owner of Maui Vision Properties LLC dba Maui Vision Rentals and Kauai Vision Rentals. Maui Vision Properties LLC became a reality and a business starting with my personal condo at the Kihei Akahi Resort C618.

Maui Vision is a business I love because I get to share the Aloha Spirit, the beauty of the land, and talk story with people from around the world. It is nice to know that we can contribute to someone’s Hawaiian vacation experience in a positive way. We love to hear back from our happy guests.

I used to live on the island of Oahu with my US Navy family when I was young.  We later moved to Southern California.  I knew one day I would return to Hawaii, the place I fell in love with long ago. I took a leap of faith and purchased my Maui condo June 2002 this was the beginning of fulfilling her prophecy to once again return to Hawaii soil.

I am a tropical expression artist who paints on canvas and etched metal.  My work is inspired by the beauty of the islands and has been displayed in several Maui art galleries over the years.  I am a writer and have my first book on Amazon.  I recently took up hula dancing and love to immerse myself in the culture and grace of this island.

I have over 25 years of business administration and customer service experience working for large corporations and high tech startups.

If you are in need of a caring Realtor here on Maui, please contact Kathy McCartney RB#23100 and Maui Vision Properties RB#23099.",46
3922,196635279,Koko Resorts,"Welcome to Koko Resorts, where we invite you to join our Ohana for a memorable Hawaiian stay. Our clean, affordable suites come in various sizes and prime locations. Our friendly team is dedicated to providing top-notch service and assistance for your comfort. Should you have any special needs or concerns, we're always ready to help. Thank you for choosing us for your Hawaiian escape.",46
2274,45475738,Terry,"Aloha! We are a local family hosting legally-zoned vacation rentals in Waikiki. We love hosting, meeting new people, and offering a great experience on this beautiful island we call home! ",45
1918,31214940,Scott,I am a certified travel agent for the past 10 years. I am married with 5 kids and a huge dog! I am a family man who loves to spend time with the family. I enjoy traveling and enjoy helping others travel even more!,45
1907,30787515,Brooke,"Worked for the last 16 years matching vacations with those that love to vacation.  I specialize in budget vacations with high quality properties.  I enjoy movies, swimming and dining.  I have 2 grown kids and I love bulldogs.",44
2203,42705922,Lei Hawaii,"Hello,

We are Lei Hawaii Realty Inc.  Our office locates in the center of Waikiki where thousands of tourists visit!!

We start managing Airbnb units, so you are welcome to stay in our Airbnb units!! We provide almost all inventories to live comfortably for a long term like small staff like iron. And rate is so low. We want you to repeat staying Hawaii every year in our units!! See you soon.

Check all the listings from here.　And also search the date and fees!!
https://www.airbnb.jp/users/42705922/listings


Please search our website by the key word, Lei Hawaii. 

ハワイで不動産売買・賃貸・管理を行っていますレイハワイ不動産です！　オフィスはワイキキの中心(H&Mのビルの7階)にございます。ハワイに長く、快適にお安く滞在して頂けるお部屋の提供を開始致しました。問い合わせなどには誠実に対応させて頂きます。全従業員・エージェント、皆でお待ちしております！

全てのエアビーリスティングはこちらから。空室や費用も確認出来ます！
https://www.airbnb.jp/users/42705922/listings


HP検索は　【レイハワイ】",44
4917,512809339,Maui Rental,"Maui Rental Group is the premier property management company servicing vacation rentals in Lahaina, Kihei, Wailea and Kapalua. As a member of the VTrips family of vacation rental brands, Maui Rental Group offers our guests the peace of mind knowing we are available 24 hours a day to ensure their vacation is a success. We take your vacation seriously and will do anything we can to make sure you leave your worries at home and hope to see you soon!",43
3652,154324699,Vacasa Hawaii,"Vacasa
Vacation Home Management

Vacasa unlocks the possibilities of how we enjoy vacation homes. We take care of managing our homeowners’ vacation houses so they can have peace of mind (and their home when they want to). And our guests book vacations confidently knowing they’re going to find exactly what they’re looking for without any surprises.

Each vacation home is always cared for by our professional local teams who implement our high cleanliness and maintenance values, while the hands-off tasks of vacation rental management--marketing, filing taxes, and maintaining a website--are handled by a specialized central support team. Our passion and focus remain true: to empower our homeowners, guests, and employees to invest in vacation.",43
3820,177215589,Quam,"Aloha, 

Quam Properties Hawaii, Inc. is conveniently located in West Maui at Napili Plaza Shopping Center. We provide a variety of services to West Maui and the neighbor islands. We are a family owned and operated management company with over 30 years experience in Hawaii. We have a full service, dedicated, friendly staff, and attention to details are our primary concern. 

Our services include Luxury Vacation Rentals and Concierge Service, Property Management, Association and Project Management, Long Term Rentals, and Real Estate Sales. Our office is open Monday through Friday from 8:00 AM to 5:00 PM and Saturday from 8:00 AM to 4:00 PM Hawaiian time. 

Quam Properties Hawaii requires a 50% credit card deposit.  We accept Visa, MasterCard and/or Discover. You may cancel outside the 60 days prior to your arrival for a refund of your deposit minus a $100 cancellation fee.	

Mahalo, Quam Properties Hawaii!",43
4255,266083019,Extra Holidays®,"Stretch out and relax in spacious resort suites while experiencing all the comforts of home. Most suites are equipped with a full kitchen, washer/dryer, private bedrooms, separate living/dining areas and unbeatable resort amenities for everyone. Extra Holidays® is the official resort condo rental source for Club Wyndham®, WorldMark by Wyndham®, Shell Vacations Club® and Margaritaville Vacation Club® by Wyndham.  ",42
1456,17918208,Keri,"Keri here! Enjoy all the bells and whistles in my portfolio of luxury condos. Stocked to the gills, and all amenities included, you and your family will be sure to enjoy your vacation!",42
4500,376749050,Casago Kona,"We are a professional Vacation Rental Management Company and we have the great fortune of managing over 70 beautiful rentals in Kona.  Most are one bedroom condos right on the ocean, but we also have some 2 and 3 bedroom condos and beautiful homes with pools as well.  We work hard to ensure you have an excellent experience with us :)  Aloha",41
2781,71367417,Koloa Kai,"Hi, we are Koloa Kai Vacation Rentals.  

Whether you are in need of trustworthy hands to manage your rental property, are looking for a fabulous residence to call home base on vacation, or anything in between, we would love the opportunity to work with you.  

For as long as we can remember, we have wanted to find a way to share our love of Kauai with our friends, colleagues, and family.  Finally, one day, under a crimson-streaked Poipu sunset, we realized that, with a license to practice law in Hawaii and a wealth of property management experience on the mainland, nothing was holding us back from attaining our dream but ourselves. 

Hence (and admittedly with a lot of hard work along the way), a rental property business was born.  With this spirit, we developed our motto: ""live your aloha.""  Live your passion.  

We're here to serve you.  Call us with your property needs. ",41
2012,34386367,Kauai Calls!,"I have always known I would have a home on beautiful Kauai and dreamed of hosting guests who come to Kauai to fulfill their own life's dream. My favorite TV show when growing up was 'Fantasy Island' and here I am. Over the past 13 years I have come to realize that all that guests who have stayed at Wailua Riverside Hideaway become ohana the moment they arrive. It is you the guests who are the true stars in this Fantasy Island called Kauai! 

I now run a vacation rental business here on the island: Kauai Calls! managing over 40 properties with co-hosting help from Cathy and Michelle, my ohana! 

I look forward to greeting/meeting you here at the Wailua Riverside Hideaway! We have self-check-in set up for all other properties on the island!  

Mahalo nui loa! 
Candace, 
Owner P RB
Kauai Calls!",41
1925,31297800,Parrish Maui,"Hawaii-based and locally operated out of Kapalua Resort, The Parrish Collection Maui is a full-service vacation rental management company proudly overseeing 50 privately owned homes in the Bay Villas, Golf Villas and The Ridge Villas.  

Originally formed in 2007, Aloha Vacation Villas is now part of The Parrish Collection group of companies.  Based on Kauai, The Parrish Collection LLC manages over 350 properties on both Maui and Kauai.

JP Parrish is the Owner and Principal Broker of The Parrish Collection LLC, originally formed in 1984 that is now the largest independently owned vacation rental company on Kauai.  

Headquartered at Poipu Beach, Kauai and operating owner and guest services’ desks at three major Kauai resorts, The Parrish Collection LLC offers easy access to owners and guests. 

Its dedicated team has worked together for many years and offers an unequaled commitment to personal and professional service, attention to detail, and the highest quality standards all balanced with a true sense of Aloha.",40
1748,25700238,Anke,"Aloha, I'm Anke, property manager surfer, runner and kiteboarder living on Maui. Managing vacation rentals in Maui and I love what I do! 

Love, Live Aloha!",39
2271,45388803,Nobu,"My name is Nobu, and I am exited to welcome you to the island of Oahu.
If you're looking for an economy rental, or even a high end luxury rental we have it all.  Our goal is to offer you a beautiful experience during your stay on the islands.  Visiting for work, or vacation we have something that'll works for you.
Me and my team are also licensed real estate agents. If you're considering investing in real estate in Hawaii, we would love to help.",39
3132,101995602,I Go Maui Vacation Rentals,"I Go Maui Vacation Rentals offers you the “The Best Of The Best”  in affordable first class, ocean front and beach front luxury and deluxe accommodations along with hospitality service that over flows with the spirit of Aloha! A unique vacation rental specialist emphasizing hands-on, detailed, and attentive customer service and condo care.",39
1775,26591491,Rick,"Hawaii Ocean Club Realty Group is an up-and-coming company in the sales and property management market with emphasis on short-term vacation rentals. We are an ambitious team looking to build trust and long-term relationships with our guests.  Whether you are someone inquiring about a dream vacation, looking for trusty well-versed locals to manage your properties, needing someone to help sell your home and/or looking to buy your dream home here in Hawaii, we're here to help with aloha spirit! We currently manage and care for many beautiful rooms across Waikiki to Ko'olina.",38
2752,69710602,Premier Kauai Ohana,"Premier Kauai Vacation Rentals is owned by Cindy Plemer. Cindy is Hawaii-born and raised, waking up every day to the privilege of calling one of the most beautiful places in the world home: the Garden Isle of Kauai.

My passion has been connecting the land I love to guests, owners, sellers, renters and visitors throughout the world, turning dreams of Kauai into an attainable, magical reality.

By living the spirit of aloha, creating moments of a lifetime on Kauai for those around me, deep knowledge of the Kauai market, and real estate sales expertise, I have been successful in many areas of real estate. Beginning as a Resort General Manager for some of the world's largest hoteliers to property management experience and real estate sales, I've been entrusted to care for assets exceeding well over $50,000,000.

Whatever the occasion, if we may be of assistance, we are happy to be of service to you here on Kauai.",38
3710,162428194,Raven,"I love to travel and meet people from all around the world. I travel a lot for business using airbnb and love being an airbnb host. 

I am originally from Canada but now call paradise home. I coach new and existing vacation rental owners how to create a successful BADA$$ airbnb! I specialize in interior design and property management. For free airbnb tips & tricks find me on IG @itsravenstarr",38
3266,114271211,Castle Resorts And Hotels,"Kanaloa at Kona by Castle welcomes the hopeless romantics, the thrill-seekers, and those who just want to have fun. Our resort feels secluded, but is close to charming shops, restaurants, and sits upon the dramatic lava rock coast. You’ll enjoy year-round sailing, snorkeling, and fishing, dine among spectacular Kona sunsets, and fall asleep to the sound of crashing waves.

Since 1993, Castle Resorts & Hotels has specialized in innovative hotel and resort management. We manage properties throughout the Hawaiian Islands, including Kauai, Oahu, Maui, Molokai, and Hawaii Island, as well as Auckland, New Zealand. Accommodations range from full-service hotels to resort condominiums and combines value, convenience, and authentic experiences. ",37
4453,352781868,Jessica,Jessica owns and operates Salt Water Hawai'i that manages legal vacation rentals on Hawai'i Island with a dedicated staff with over 50 years combined experience.  Let The Salt Water Crew treat you as 'Ohana (family)!  E Komo Mai (Welcome)!,37
3570,146035240,Private Homes Hawaii,"We are a licensed, professional property management company operating vacation rentals on Oahu and the Big Island. Our team will meet guests on arrival, provide an orientation to the property, and be available for assistance throughout the stay, if needed.  

We pride ourselves on providing a consistent, high-quality experience no matter which home you choose.  Homes are incredibly well stocked from kitchen items to bath amenities to beach necessities.  Just bring your luggage!  

Many of our listings are at the Four Seasons Hualalai Resort where I worked for 10 years as VP of Marketing.  The Resort continues to be the #1 rated property in Hawaii and is my family's favorite place to visit.  My business partner now runs our Big Island operation while I have relocated to Kailua, Oahu.... another amazing beach destination!  Fabulous restaurants, great beaches, and charming beach- town shops characterize Kailua and we have a great selection of vacation homes in the area.  
We look forward to having you with us!",37
4468,363193988,Castle Resorts And Hotels,"Bamboo Waikiki Hotel features a selection of moderately priced guest rooms, studios, and suites in a “tropical-urban Zen” atmosphere that makes you feel relaxed and refreshed. All accommodations offer a private lanai, WiFi access, air conditioning, flat screen LCD TV, iDock, laptop-compatible safe. While all rooms include at least a microwave, coffee maker, and mini-refrigerator, select rooms include a kitchenette or full kitchen.

You’ll love Bamboo Waikiki Hotel’s easy access to the golden sands of Waikiki Beach and the International Market Place. Embrace the action that makes Waikiki the world’s most famous urban resort. Then retreat to your tranquil oasis away to unplug and revive.

Since 1993, Castle Resorts & Hotels has specialized in innovative hotel and resort management. We manage properties throughout the Hawaiian Islands, including Kauai, Oahu, Maui, Molokai, and Hawaii Island, as well as Auckland, New Zealand. Accommodations range from full-service hotels to resort condominiums and combines value, convenience, and authentic experiences.",37
3605,149880750,Pacific Hale,"We LOVE hosting guests from all over the world. We are Marcela Gama and Florencia Arias, licensed real estate agents on Oahu. We have been sharing ALOHA with our Airbnb guests since 2016.
We hope you book your stay with us. MAHALO.

REMAX Honolulu RB-20389 
Marcela Gama Filho  RS-61498
M. Florencia Arias RS-79988",37
3402,128058869,Tina,"I live and work on Kaua’i. I Love this Hawaiian Paradise, and Love sharing it with Others. ",36
3801,174792040,RoomPicks By Victoria,"Going someplace new is always exciting. And what would that adventure be without a great place to lay your head at the end of the day? That is where I come in!

As an avid traveler myself, I know how the little things can set the pace for a new experience! You want something hospitable and inviting to give you a remarkable experience that no one else can give you. A heated pool, or jacuzzi at the end of the day to relax in, or a nice meal within walking distance? Down to beds that cozy and homily. Sounds good? Well, you have come to the right place.

We offer handpicked accommodations in remarkable properties for a  top-notch experience with a few added extras. As well as tips, recommendations, and 24/7 customer support to make sure that your experience is the best it can be! ",35
3125,101426056,Private Paradise Villas,"We've been exceeding our guests' expectations since 1995 with our premium beachfront estates, award-winning resort villas, romantic hideaways and secluded retreats on Maui. Our luxury homes and villas are “Your Own Private Paradise” for your visit to Hawaii. 

Our highly attentive staff includes a personal on-island concierge, property manager and greeter who are at your service, free of charge, from initial planning stages through completion of your stay.

Over the past decade, Conde Nast Traveler and Travel+Leisure magazines have recognized our owner, Irene Ann Aroner, as a premier Hawaii villa rental specialist and our company, Private Paradise Villas (formerly Tropical Villa Vacations), as a premier Hawaii villa rental agency.",35
4584,406956614,Stay Aloha,"Aloha, here @ Stay Aloha we manage beautiful Hawaii properties with exceptional service & guest experience. Our condos are very well appointed & thoughtful with your memories in mind. Every unit is photo’d & inspected before your check in, luxury bath products, essentials, welcome gift, & little resort touches throughout every unit. Wifi QR codes, towels made into artwork, welcome guides & more. Don’t take our word for it, see our raving reviews.",35
4268,269562627,Makana Kauai Properties,"Kaua'i is truly paradise, and the Spirit of Aloha is in everything we do!

The beauty and culture of Kaua'i inspires first class vacations and we are your local, on-island team of vacation rental professionals excited to share the gift of Kaua'i with you.  Through our beautiful vacation rental homes and personal knowledge of the island and culture, you can trust us to make your vacation a paradise.

Our heart is Kaua'i and we are Aloha.",35
3285,116782456,Castle Resorts And Hotels,"Since 1993, Castle Resorts & Hotels has specialized in innovative hotel and resort management. We manage properties throughout the Hawaiian Islands, including Kauai, Oahu, Maui, Molokai, and Hawaii Island, as well as Auckland, New Zealand. Accommodations range from full-service hotels to resort condominiums and combines value, convenience, and authentic experiences.",35
4954,522727606,Joseph,I’m a frequent traveler for both business and leisure and love getting to play even the smallest role in creating vacation memories for everyone I can!,35
1986,33518620,Grace,Professional short term rental management company in Hawaii. We manage over 20 properties.,34
3302,117881929,Talia,"Hi! Love to travel, always looking for my next adventure!",34
4010,215548272,Tom,Tom lewis,33
4864,489363368,Vacation Award,"Hi, my name is Nick. I love traveling and helping others! My company helps nonprofits raise money by renting out timeshares I've bought over the years. I'm glad I can rent them out on Airbnb and save you money, while also helping out others in need! I make sure all of my prices on Airbnb are significantly lower than the resorts themselves. All profits made are donated to various charity organizations. Thank you so much for supporting my mission!",33
3344,121746309,Castle Resorts And Hotels,"Tempting at every turn, Halii Kai at Waikoloa Resort welcomes you to discover the beauty and bliss of the Big Island’s sunny Kohala Coast within the world-famous Waikoloa Resort. You’ll love the easy lifestyle in this exclusive resort community where the best days are spent doing nothing at all.

Our beautiful coastal location between Kailua-Kona and Waimea’s upcountry puts you in the heart of Hawaii Island’s exciting recreation. Whether you’re into golf and spas or sport fishing and sailing, you’ll find your passions fulfilled.

 - Tee off on Waikoloa’s King’s and Beach courses with special guest rate
 - Catch a morning snorkeling excursion from Kawaihae Harbor
 - Explore ancient rock art in the Anaehoomalu Petroglyph Field
 - Catch monthly “Movies Under The Stars” at Queens’ MarketPlace
 - Melt into a Hawaiian lomilomi massage in an ocean side cabana
 - Horseback ride through the pastures of Kahua Ranch

Halii Kai’s spacious two, and three bedroom vacation villas and town homes are thoughtfully designed so families and friends have the perfect mix of privacy and open living spaces.

 - Privacy for parents and children 
 - Separate rooms create private space to spread out and relax.
 - Fully equipped kitchens 
 - Access to a kitchen reduces stress, saves time and cuts costs.
 - In-room washers and dryers 
 - Save time, pack less, save on baggage fees and stay fresh.
 - All the comforts of home 
 - But with daily housekeeping and amazing views.

Castle Resorts & Hotels was founded in 1993 and is a wholly owned subsidiary of The Castle Group, Inc. Headquartered in Honolulu, Castle manages a broad portfolio of guest accommodations including value/economy hotels, full-service hotels and spacious all-suite condominium resorts and luxury villas in the Hawaiian Islands on Oahu, Maui, Molokai, Kauai and Hawaii, and in New Zealand on the North Shore of Auckland. 
",33
4705,439429870,Luxury,We are a family owned property management business that love to travel!,32
3404,128175133,Seaview,"Hi,
Seaview Property Group provides self checkin and check out clean and efficient rooms. We are very patient, super positive hosts who looks forward to assisting new guests and returning guest. So, dont hesitate and reserve a room with us. Very close to UH Manoa and Manoa valley. Relaxing and cozy setting..",32
2200,42618840,Vacasa Kauai,"Vacasa
Vacation Home Management

Vacasa unlocks the possibilities of how we enjoy vacation homes. We take care of managing our homeowners’ vacation houses so they can have peace of mind (and their home when they want to). And our guests book vacations confidently knowing they’re going to find exactly what they’re looking for without any surprises.

Each vacation home is always cared for by our professional local teams who implement our high cleanliness and maintenance values, while the hands-off tasks of vacation rental management--marketing, filing taxes, and maintaining a website--are handled by a specialized central support team. Our passion and focus remain true: to empower our homeowners, guests, and employees to invest in vacation.",32
2851,77524831,David,"Stay in luxury @ Hilton, Hyatt, Marriott, Ritz-Carlton, Westin & Ski Vacation Club Timeshare Resorts that have all the privacy, luxuries & amenities of a high-end hotel & resort brand with benefits of more space & features such as furnished kitchens & washer/dryers compared to a hotel room (check details for each of my listings to confirm amenities & benefits which vary). Check out all Airbnb listings:  https://airbnb.com/p/zipscape",31
1201,12057949,Holly,My husband and I have been blessed with the opportunity to make our DREAMS our MEMORIES and we're here to help assist you with yours'..........Traveling is TRULY what life is about! ,31
3986,210430041,Alyssa,"Born and raised in Alaska, now living the dream in Hawaii

Realtor Associate and Property Manager at Tropical Escapes Realty

RA 81130",31
4432,341809814,Vip,Aloha Guests! We would love to share a bit about who we are and what we do.  Valley Isle Property Management is a vacation rental management team made up of licensed professional property managers. We specialize in personalized vacation rental property management in the South Maui area (Kihei & Wailea). We love Maui and we look forward to hosting you and sharing a piece of paradise with you during your stay!,31
3340,121679638,Evolve,"Hi! We’re Evolve, the hospitality team that helps you rest easy when you rent a private, professionally cleaned home from us.

We promise your rental will be clean, safe, and true to what you saw on Airbnb or we'll make it right. Check-ins are always smooth, and we're here 24/7 to answer any questions or help you find the perfect property.",31
396,2349948,Hawaii Dream Realty TEAM,"ALOHA and WELCOME!  We are a TEAM of professionals who manage individually owned condo apartments in Waikiki. Our units are well maintained, repaired when necessary and treated for pest prevention. We try not to interrupt our guests, but if the unexpected happens, we do our best to resolve it quickly with the least inconvenience. We look forward to hosting you! 
Aloha & Mahalo, Hawaii Dream Realty LLC RB-19373, 2450 Koa Ave, Honolulu, HI 96815",31
1245,13039811,Stay Maui LLC,"Since 1984, Kumulani Vacations has specialized in South Maui Vacation Rentals and Real Estate Sales.

Our office is centrally located in Kihei and we are a hands on management company, available 24/7 to assist you in making your dream vacation a reality. We are professional, knowledgeable and will go the extra mile sharing the “aloha” spirit.

We offer fully furnished condos priced from affordable to luxury. The staff at Kumulani goes above and beyond to help you choose the location and atmosphere that will fit your lifestyle and requirements for a perfect Maui holiday.

All of our condos have a fully stocked kitchen, complimentary wifi, and all the comforts to make your Maui vacation fabulous!",31
4114,236664052,Chimera,"Thank you for visiting Chimera Vacations. We look forward to welcoming you!

We offer luxury vacation rentals all across the world at competitive rates!

We have accommodations across the United States including Hawaii, 
Mexico, Canada, the Caribbean (St. John, St. Thomas, Aruba, Bahamas, St. Kitts), Malaga-Spain, Phuket-Thailand - and several other locations. 
*Please request for additional listings that may not be posted 

Feel free to request a customized rate for your specific desired dates. We will work with you to offer the best available stay.

We may have Special Last-Minute Stays or Early-Bird Offers for your requested stay.

Thank you,
Chimera Vacations

Owner Owned & Professionally Managed Villas to ensure an enjoyable and smooth stay! Feel free to reach out to Chimera Vacations' Personal Concierge for exclusive offers!

**Providing Luxury Getaways | To help Luxury Accommodations be more Globally Accessible for all People to Enjoy and Explore the World**
",30
4236,262533942,Sharon,"Hawaii vacation host since 2010 Oahu, Kauai, Big Island, Maui
Airbnb host since May 2019.",30
3204,108986794,Maui Kaanapali Vacation Rentals,"Raising the Standards at the Maui Eldorado for Over 20 Years

We're world travelers who first visited Maui over 20 years ago and have been in love with this special island ever since. As hospitality specialists, we have international experience at top hotels and restaurants in Asia. Beginning as condo owners at the Maui Eldorado, we were the first company to raise the standards, invest in quality, and begin upgrading condos. Since then, we’ve grown naturally to suit the needs of our owners and our guests. 

Pride in Everything We Do

From our background in food services, where we’ve won numerous awards, we know how to take care of our guests. We take pride in everything we do. Kaanapali Beach, and the west side of Maui, holds a special place in our hearts and we look forward to sharing our passion with you. 

Personal Guest Service - From Beginning to End
Based on-island, right in West Maui, we offer complete customer service throughout your Hawaiian vacation. From the moment you begin planning your trip to the time you leave, we’re here to help. We’ll be sure you find the perfect condo for your group and connect you with Maui’s top activities and attractions. 

Offering  privately-owned studios,  1 and 2 bedrooms at the Maui Eldorado Resort located on Kaanapali beach surrounded by Kaanapali golf course. Exclusive beachfront clubhouse with full kitchen on the beach!

As a host, customer satisfaction is our #1 priority, as we know you have choices. Let us help make MAUI memories last!!",30
2398,50482854,Marisa,"Aloha everyone! Here’s a little about me. I am a Business owner, Real estate agent and property manager here in Hawaii. I grew up in Coeur d’Alene Idaho and moved to the heart of Kailua Kona 22 years ago and fell in love with paradise! I enjoy the beaches, snorkeling, and exploring what this island has to offer.",30
3600,149306068,Crystal,We help homeowners process their bookings in a timely manner. There are several agents who will be able to assist you. Please understand most of the time we depend on the owners approval and calendar availability in order to approve your stay. We will always do our best to assist you and make your vacation an enjoyable one. Thank you for considering booking with us.			,30
1273,13640337,Destination Kauai,"Destination Kauai LLC was founded to provide expert, personalized service. We are your locally owned and operated Vacation Rental Property Management Company and offer our knowledge of more than 25 years in the Hospitality, Real Estate, and Management field for guests and owners.",29
3371,124581034,Ridge Realty Rentals,"Ridge Realty/Rentals LLC is the oldest, family owned real estate brokerage which specializes in properties at The Kapalua® Resort. For over thirty years we have maintained a solid track record, generating a customer loyalty that is second to none.  

When planning your next Maui dream vacation, do not make the mistake of staying in a hotel, most of which are small, overcrowded and overpriced. Start your vacation off right, and book your stay in one of our affordable spacious properties. All our properties come fully furnished and offer free high speed wireless internet, fully stocked kitchens, a starter supply of towels, soap/shampoo and laundry detergent, plus linens and all the other comforts of home.

Our clientele enjoy personal, around-the-clock service; staff are on-site, 24 hours a day.  Clients deserve the best and we deliver.  Allow our team to enhance your vacation with special touches; we will stock your pantry, arrange a limo service from the airport, or even create that perfect romantic atmosphere, just for your arrival – no matter the request, it is our pleasure the be there for you. We go the extra mile to ensure that your stay with Ridge Realty/Rentals is nothing short of extraordinary. Our number one priority is to accommodate you in creating a personalized, dream vacation that is as much stress free as it is memorable.

Kapalua® is fortunate to be able to claim three, world-class beaches. Kapalua Bay (rated the “number one beach in the world,"" by Conde Nast), Oneloa Bay and D.T. Fleming Beach are just a quick walk from all of our properties. Do not worry about parking or long drives; the best beaches in the world are just out your door!
All Kapalua® Resort activities and amenities are conveniently located within walking distance from all of our properties.  You do not feel like walking? No problem! The resort's complimentary shuttle will pick you up at your door, and then transport you to anywhere on the resort grounds.

At Ridge Realty/Rentals we feel fortunate to call Maui our home, and want nothing more than to share this beautiful paradise with you. With the warm sand between your toes, the sun upon your face and the soft trade winds at your back, you will discover an island way of living, offering the peaceful simplicity you have been searching for. We take pride in serving each and every one of our clients with the warmth of the Aloha Spirit.
 
Mahalo for your interest and we look forward to seeing you soon!
",29
